name	location	university	type	language
Altertumswissenschaften/ Prähistorische Archäologie	Berlin	Freie Universität Berlin	Bachelor	Deutsch
Altertumswissenschaften/ Vorderasiat. Archäologie	Berlin	Freie Universität Berlin	Bachelor	Deutsch
Althebraistik	Hamburg	Universität Hamburg	Bachelor	Deutsch
Altorientalische Philologie	Tübingen	Eberhard Karls Universität Tübingen	Bachelor	Deutsch
Altorientalische Sprachen und Kulturen	Würzburg	Julius-Maximilians-Universität Würzburg	Master	Deutsch
Altorientalistik	Leipzig	Universität Leipzig	Bachelor	Deutsch
Altorientalistik	Würzburg	Julius-Maximilians-Universität Würzburg	Bachelor	Deutsch
Altorientalistik	Göttingen	Georg-August-Universität Göttingen	Bachelor	Deutsch
Altorientalistik	Tübingen	Eberhard Karls Universität Tübingen	Master	Deutsch
Altorientalistik	Göttingen	Georg-August-Universität Göttingen	Master	Deutsch
Altorientalistik	Leipzig	Universität Leipzig	Master	Deutsch
Altorientalistik	München	Ludwig-Maximilians-Universität München	Master	Deutsch
Altorientalistik (Alte Welt)	Würzburg	Julius-Maximilians-Universität Würzburg	Bachelor	Deutsch
American History, Culture and Society	München	Ludwig-Maximilians-Universität München	Master	Englisch
American Studies	Mainz	Johannes Gutenberg-Universität Mainz	Bachelor	Englisch
American Studies	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Bachelor	Deutsch
American Studies	Heidelberg	Ruprecht-Karls-Universität Heidelberg	Bachelor	Englisch
American Studies	Heidelberg	Ruprecht-Karls-Universität Heidelberg	Master	Englisch
American Studies	Tübingen	Eberhard Karls Universität Tübingen	Master	Englisch
American Studies	Mainz	Johannes Gutenberg-Universität Mainz	Master	Englisch
American Studies	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Master	Englisch
American Studies / Anglais (dt.-frz. Studiengang)	Mainz	Johannes Gutenberg-Universität Mainz	Bachelor	Englisch
American Studies / British Studies / English Linguistics	Saarbrücken	Universität des Saarlandes	Master	Englisch
American Studies / Études anglophone (dt.-frz. Studiengang)	Mainz	Johannes Gutenberg-Universität Mainz	Master	Englisch
Amerikanistik	Berlin	Humboldt-Universität zu Berlin	Bachelor	Deutsch
Amerikanistik	Regensburg	Universität Regensburg	Bachelor	Englisch
Amerikanistik	Berlin	Humboldt-Universität zu Berlin	Master	Englisch
Amerikastudien (American Studies)/Amerikanistik	Leipzig	Universität Leipzig	Bachelor	Englisch
Amerikastudien (American Studies)/Amerikanistik	Leipzig	Universität Leipzig	Master	Englisch
Analysis & Design of Social Protection Systems	Sankt Augustin	Hochschule Bonn-Rhein-Sieg, University of Applied Sciences	Master	Englisch
Analytic Instruments, Measurement- and Sensor-Technology (AIMS)	Coburg	Hochschule für angewandte Wissenschaften Coburg	Master	Englisch
Analytische Chemie und Qualitätssicherung	Sankt Augustin	Hochschule Bonn-Rhein-Sieg, University of Applied Sciences	Master	Deutsch
Analytische und Bioanalytische Chemie	Aalen	Hochschule Aalen - Technik und Wirtschaft	Master	Deutsch
Angewandte  Ingenieurwissenschaften	Ansbach	Hochschule für angewandte Wissenschaften Ansbach	Bachelor	Deutsch
Angewandte Automatisierung (berufsbegleitend)	Bielefeld	Fachhochschule Bielefeld	Master	Deutsch
Angewandte Betriebswirtschaftslehre	Neubrandenburg	Hochschule Neubrandenburg - University of Applied Sciences	Bachelor	Deutsch
Angewandte Bewegungswissenschaft	Regensburg	Universität Regensburg	Bachelor	Deutsch
Angewandte Bewegungswissenschaft: Motion and Mindfulness	Regensburg	Universität Regensburg	Master	Deutsch
Angewandte Bildungswissenschaften	Nürnberg	Evangelische Hochschule für angewandte Wissenschaften - Evangelische Fachhochschule Nürnberg	Master	Deutsch
Angewandte Bioinformatik	Bingen	Technische Hochschule Bingen	Bachelor	Deutsch
Angewandte Bioinformatik	Mainz	Johannes Gutenberg-Universität Mainz	Master	Deutsch
Angewandte Biologie	Furtwangen	Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien, Gesundheit	Bachelor	Deutsch
Angewandte Biomechanik	Offenburg	Hochschule für Technik, Wirtschaft und Medien Offenburg	Bachelor	Deutsch
Angewandte Biomedizintechnik	Hamm	Hochschule Hamm-Lippstadt	Master	Deutsch
Angewandte Biowissenschaften	Frankfurt am Main	Frankfurt University of Applied Sciences	Bachelor	Deutsch
Angewandte Chemie	Lübeck	Technische Hochschule Lübeck	Bachelor	Deutsch
Angewandte Chemie	Aachen	Fachhochschule Aachen	Bachelor	Deutsch
Angewandte Chemie	Nürnberg	Technische Hochschule Nürnberg Georg Simon Ohm	Bachelor	Deutsch
Angewandte Chemie	Reutlingen	Hochschule Reutlingen, Hochschule für Technik-  Wirtschaft-Informatik-Design	Bachelor	Deutsch
Angewandte Chemie	Köln	Technische Hochschule Köln	Bachelor	Deutsch
Angewandte Chemie	Köln	Technische Hochschule Köln	Bachelor	Deutsch
Angewandte Chemie	Kaiserslautern	Hochschule Kaiserslautern (University of Applied Sciences)	Bachelor	Deutsch
Angewandte Chemie	Merseburg	Hochschule Merseburg	Bachelor	Deutsch
Angewandte Chemie	Krefeld	Hochschule Niederrhein	Master	Deutsch
Angewandte Chemie	Reutlingen	Hochschule Reutlingen, Hochschule für Technik-  Wirtschaft-Informatik-Design	Master	Deutsch
