item,itemLabel,itemDescription,instanceLabel,subclassLabel,image
http://www.wikidata.org/entity/Q3610519,highway engineering,"branch of civil engineering focused on roads, bridges, and tunnels",academic major,transport engineering,http://commons.wikimedia.org/wiki/Special:FilePath/German%20Autobahn%201936%201939.jpg
http://www.wikidata.org/entity/Q2144042,process engineering,all technical processes in which a raw or starting material are transformed into a another product by the use of chemical-physical or biological processes,area of engineering,engineering,http://commons.wikimedia.org/wiki/Special:FilePath/Jninternational4.jpg
http://www.wikidata.org/entity/Q207892,public law,"regulates the relationship between the state and citizens, regulates the organization and function of the State",academic major,law,http://commons.wikimedia.org/wiki/Special:FilePath/Sch%C3%B6nfelder%20-%20Deutsche%20Gesetze.%20Textsammlung%20%28C%20H%20Beck%29.jpg
http://www.wikidata.org/entity/Q715396,solid-state physics,branch of physics of matter in the solid state,branch of physics,physics,http://commons.wikimedia.org/wiki/Special:FilePath/Brillouin%20Zone%20%281st%2C%20FCC%29.svg
http://www.wikidata.org/entity/Q213713,developmental biology,explores the processes by which individual organisms grow and develop (ontogeny),branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/11-stages-womanhood-1840s.jpg
http://www.wikidata.org/entity/Q213713,developmental biology,explores the processes by which individual organisms grow and develop (ontogeny),branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/Bourgery%20-%20Trait%C3%A9%20d%27anatomie%20-%20Frontispice.jpg
http://www.wikidata.org/entity/Q213713,developmental biology,explores the processes by which individual organisms grow and develop (ontogeny),branch of biology,biology,http://commons.wikimedia.org/wiki/Special:FilePath/De%20Lisle%20Psalter%20Rad%20des%20Lebens%20stages%20of%20life%20British%20Library.jpg
http://www.wikidata.org/entity/Q11351,organic chemistry,"subdiscipline within chemistry involving the scientific study of carbon-based compounds, hydrocarbons, and their derivatives",academic major,chemistry,http://commons.wikimedia.org/wiki/Special:FilePath/Organic%20synthesis.jpg
http://www.wikidata.org/entity/Q11650,electronics,"physics, engineering, technology and applications that deal with the emission, flow and control of electrons in vacuum and matter",industry,technique,http://commons.wikimedia.org/wiki/Special:FilePath/Arduino%20ftdi%20chip-1.jpg
http://www.wikidata.org/entity/Q11650,electronics,"physics, engineering, technology and applications that deal with the emission, flow and control of electrons in vacuum and matter",industry,applied physics,http://commons.wikimedia.org/wiki/Special:FilePath/Arduino%20ftdi%20chip-1.jpg
http://www.wikidata.org/entity/Q628967,labour law,"mediates the relationship between workers, employers, trade unions and the government",area of law,law,http://commons.wikimedia.org/wiki/Special:FilePath/Abolish%20child%20slavery.jpg
http://www.wikidata.org/entity/Q76592,combinatorics,branch of discrete mathematics,area of mathematics,area of mathematics,http://commons.wikimedia.org/wiki/Special:FilePath/FourColorMapEx.png
http://www.wikidata.org/entity/Q428691,computer engineering,discipline integrating computer science and electrical engineering to develop computer hardware and software,academic major,engineering,http://commons.wikimedia.org/wiki/Special:FilePath/Xilinx%20S6-SP601%20board.jpg
http://www.wikidata.org/entity/Q11190,medicine,"field of study for diagnosing, treating and preventing disease",field of study,health science,http://commons.wikimedia.org/wiki/Special:FilePath/Physical%20examination.jpg
http://www.wikidata.org/entity/Q1071953,medical genetics,medical specialty that involves the diagnosis and management of hereditary disorders,medical specialty,genetics,http://commons.wikimedia.org/wiki/Special:FilePath/ScientistPedigree.JPG
http://www.wikidata.org/entity/Q11205,arithmetic,elementary branch of mathematics,area of mathematics,procedure,http://commons.wikimedia.org/wiki/Special:FilePath/Tables%20generales%20aritmetique%20MG%202108.jpg
http://www.wikidata.org/entity/Q11190,medicine,"field of study for diagnosing, treating and preventing disease",health science,health science,http://commons.wikimedia.org/wiki/Special:FilePath/Physical%20examination.jpg
http://www.wikidata.org/entity/Q428691,computer engineering,discipline integrating computer science and electrical engineering to develop computer hardware and software,specialty,engineering,http://commons.wikimedia.org/wiki/Special:FilePath/Xilinx%20S6-SP601%20board.jpg
http://www.wikidata.org/entity/Q235007,cardiac surgery,surgery on the heart or great vessels,medical specialty,thoracic surgery,http://commons.wikimedia.org/wiki/Special:FilePath/Coronary%20artery%20bypass%20surgery%20Image%20657B-PH.jpg
http://www.wikidata.org/entity/Q11468,nanotechnology,field of applied science whose theme is the control of matter on atomic and (supra)molecular scale,branch of science,technology,http://commons.wikimedia.org/wiki/Special:FilePath/Fullerene%20Nanogears%20-%20GPN-2000-001535.jpg
http://www.wikidata.org/entity/Q11468,nanotechnology,field of applied science whose theme is the control of matter on atomic and (supra)molecular scale,branch of science,technology,http://commons.wikimedia.org/wiki/Special:FilePath/Kohlenstoffnanoroehre%20Animation.gif
